Unnamed: 0,Num.,Height（ um）,Roughness （nm）,Length,Wideth,Adhesion (pN),Elastic modulus,Aspect Ratio,Unnamed: 9,Unnamed: 10
,,2.936,177.0,110.8,48.67,603.9,6.342,2.27655640024656,,
,,2.955,176.6,110.3,47.21,606.3,6.392,2.3363694132599,,
,,2.922,176.4,111.4,47.92,600.1,6.194,2.32470784641068,,
,,2.881,176.3,109.5,48.23,603.7,6.342,2.27037113829567,,
,,2.877,176.5,109.9,48.98,599.4,6.2,2.2437729685586,,
,,2.907,176.0,110.4,47.62,602.2,6.093,2.31835363292734,,
,,2.898,175.8,110.0,47.91,605.5,6.392,2.29597161344187,,
,,2.83,177.4,109.3,47.19,608.3,6.197,2.31616867980504,,
,,2.832,177.2,110.9,47.87,612.7,6.347,2.31669103822854,,
,,2.753,177.7,109.4,48.11,611.5,6.084,2.2739555186032,,
,,2.936,177.4,111.0,48.56,617.3,6.045,2.28583196046128,,
,,2.78,177.3,110.2,47.94,615.8,6.564,2.29870671672924,,
,,2.636,176.6,109.2,47.23,614.1,7.166,2.31208977344908,,
,,2.943,176.3,109.8,47.98,613.3,6.875,2.28845352230096,,
,,2.79,176.5,110.7,48.22,616.7,7.779,2.29572791372874,,
,,2.753,177.2,109.6,47.19,614.0,7.887,2.3225259588896,,
,,2.827,176.8,109.9,46.98,612.8,7.736,2.33929331630481,,
,,2.535,176.7,110.4,46.02,606.9,7.736,2.39895697522816,,
,,2.726,177.2,110.8,48.14,602.0,6.694,2.30162027420025,,
,21,3.709,163.6,73.62,28.98,809.3,7.302,2.54037267080745,,
,,3.752,155.4,72.57,29.92,812.8,8.096,2.4254679144385,,
,,3.77,155.6,72.78,29.77,813.2,7.252,2.44474302989587,,
,,3.72,158.0,73.42,28.12,816.3,8.957,2.61095305832148,,
,,3.736,211.7,72.78,29.34,820.9,7.252,2.48057259713701,,
,,3.47,211.0,73.18,28.89,827.4,8.04,2.53305642090689,,
,,3.735,212.5,73.33,29.56,819.3,8.768,2.48071718538566,,
,,3.439,211.7,73.92,28.73,825.8,9.575,2.57292029237731,,
,,3.682,215.6,72.7,29.91,822.2,9.132,2.43062520896021,,
,,3.801,217.9,73.11,28.45,821.4,8.34,2.56977152899824,,
,,3.607,270.2,73.85,29.08,826.8,8.53,2.53954607977992,,
,,3.709,231.8,72.03,28.67,827.2,9.652,2.5123822811301,,
,,3.78,222.4,73.77,29.22,821.9,8.652,2.52464065708419,,
,,3.752,208.3,73.66,28.94,816.2,8.872,2.54526606772633,,
,,3.24,216.2,73.85,29.63,811.5,9.532,2.49240634492069,,
,,3.793,240.2,72.38,28.31,804.7,7.667,2.5566937477923,,
,,3.573,188.1,72.5,29.5,805.4,8.91,2.45762711864407,,
,,3.759,168.9,72.94,29.15,801.9,7.982,2.50222984562607,,
,,3.426,155.4,72.65,28.58,795.4,9.371,2.54198740377887,,
,,3.801,158.0,72.89,29.39,807.0,7.192,2.48009527050017,,
,22,2.341,162.6,86.18,24.34,579.3,8.233,3.54067378800329,,
,,2.285,157.6,85.08,24.08,576.5,8.825,3.53322259136213,,
,,2.09,166.0,86.56,25.77,577.9,8.894,3.35894450911913,,
,,2.38,167.9,85.23,24.59,574.3,9.092,3.46604310695405,,
,,2.366,191.9,86.11,24.12,570.4,9.597,3.57006633499171,,
,,2.395,207.4,85.89,24.71,574.5,8.196,3.47592067988669,,
,,2.431,191.9,86.77,25.39,574.2,9.559,3.41748719968492,,
,,2.408,187.0,85.45,24.93,577.2,8.53,3.42759727236262,,
,,2.332,199.6,86.33,24.85,581.0,8.097,3.47404426559356,,
,,2.376,160.6,85.98,25.88,580.6,8.76,3.32225656877898,,
,,2.423,178.0,86.04,25.91,575.5,8.939,3.32072558857584,,
,,2.406,222.0,85.67,25.04,571.7,9.676,3.42132587859425,,
,,2.321,187.4,86.4,24.66,569.4,9.597,3.5036496350365,,
,,2.335,202.6,85.59,25.49,574.0,9.092,3.35778736759514,,
,,2.024,201.8,85.87,25.08,579.0,9.667,3.42384370015949,,
,,2.283,187.4,85.74,24.33,585.3,8.946,3.52404438964242,,
,,2.059,174.0,86.25,24.47,587.8,9.181,3.52472415202289,,
,,2.363,191.9,86.93,25.22,585.3,8.939,3.44686756542427,,
,,2.285,200.9,85.31,25.63,585.4,9.667,3.32852126414358,,
,,2.338,156.7,86.82,24.98,594.1,8.76,3.4755804643715,,
,23,2.563,172.7,96.24,37.77,612.8,7.536,2.54805401111994,,
,,2.561,169.4,97.77,38.59,606.3,7.694,2.53355791655869,,
,,2.574,183.3,96.26,38.12,602.0,7.668,2.52518363064008,,
,,2.432,185.2,96.15,37.83,602.1,7.084,2.54163362410785,,
,,2.563,169.7,96.88,37.45,604.8,7.502,2.58691588785047,,
,,2.547,175.7,97.38,39.25,602.4,7.175,2.48101910828025,,
,,2.428,175.7,97.93,38.89,606.3,7.183,2.51812805348419,,
,,2.122,178.2,96.94,37.18,611.5,7.343,2.60731576116191,,
,,2.249,170.2,96.45,37.66,605.4,7.454,2.56107275624004,,
,,2.122,168.7,97.22,37.27,602.9,7.199,2.60853233163402,,
,,2.588,165.9,97.11,38.33,601.1,7.084,2.53352465431777,,
,,2.487,173.1,96.58,38.07,606.1,7.795,2.53690570002627,,
,,2.316,173.4,96.07,37.91,604.1,7.461,2.53415985228172,,
,,2.252,175.8,97.89,38.41,602.1,7.578,2.54855506378547,,
,,2.563,171.8,98.62,38.04,601.2,7.502,2.5925341745531,,
,,2.56,178.5,96.33,37.94,599.7,7.603,2.53900896151819,,
,,2.21,172.7,97.66,39.58,598.4,6.892,2.46740778170793,,
,,2.432,178.5,97.04,38.66,596.5,6.941,2.51008794619762,,
,,2.17,177.1,97.59,38.73,597.1,6.515,2.51975213013168,,
,,2.432,186.0,98.71,37.39,597.9,7.55,2.64001069804761,,
,24,2.764,186.7,89.42,39.77,626.0,6.072,2.24842846366608,,
,,3.027,186.3,89.36,38.63,620.1,6.521,2.31322806109242,,
,,2.675,210.5,88.12,37.12,623.3,6.585,2.3739224137931,,
,,3.027,206.8,89.04,38.19,618.7,7.3,2.33150039277298,,
,,2.781,189.0,89.33,38.45,621.8,7.028,2.32327698309493,,
,,2.931,206.7,90.8,38.5,623.6,7.976,2.35844155844156,,
,,2.599,186.0,88.94,37.89,625.0,8.655,2.34732119292689,,
,,3.027,189.9,88.88,37.41,628.4,7.384,2.37583533814488,,
,,2.764,201.3,89.58,38.33,633.3,7.068,2.33707278893817,,
,,2.631,206.8,89.47,38.84,639.3,7.569,2.30355303810505,,
,,2.696,205.4,88.46,37.66,645.1,7.383,2.34891131173659,,
,,2.764,206.7,88.21,39.36,635.6,7.551,2.24110772357724,,
,,2.863,189.2,89.91,38.91,638.3,7.794,2.31071703932151,,
,,2.67,199.1,89.15,37.88,635.6,7.555,2.35348468848997,,
,,2.602,212.1,90.73,37.04,629.7,7.1,2.44951403887689,,
,,2.642,186.6,88.59,40.07,623.6,7.271,2.21088095832293,,
,,2.632,189.0,89.25,38.58,621.8,7.569,2.31337480559876,,
,,2.675,194.3,89.63,37.25,621.3,7.488,2.40617449664429,,
,,2.668,209.4,90.67,39.73,626.6,7.228,2.28215454316637,,
,,2.894,229.1,88.39,37.98,626.0,7.91,2.32727751448131,,
,25,4.044,147.54,85.77,56.77,627.2,8.093,1.51083318654219,,
,,4.04,155.84,85.04,55.12,633.2,8.157,1.54281567489115,,
,,4.057,166.24,84.12,56.39,633.8,8.106,1.49175385706686,,
,,4.062,189.3,84.59,55.88,635.8,8.052,1.51377952755906,,
,,4.052,182.06,85.33,56.04,632.8,9.347,1.52266238401142,,
,,4.017,182.18,85.36,55.63,633.6,8.649,1.5344238720115,,
,,4.047,176.43,84.89,56.91,633.5,8.143,1.49165348796345,,
,,4.057,172.06,84.21,55.45,634.5,7.004,1.51866546438233,,
,,4.053,179.04,85.58,56.22,633.0,7.743,1.52223408039843,,
,,3.973,167.39,86.8,55.74,633.2,7.947,1.55722999641191,,
,,3.974,195.1,84.46,56.58,633.5,7.684,1.49275362318841,,
,,4.035,174.49,85.47,55.33,634.3,7.89,1.54473161033797,,
,,4.046,167.46,85.91,56.15,634.2,7.454,1.5300089047195,,
,,4.044,163.45,85.15,55.97,633.2,7.743,1.52135072360193,,
,,3.867,176.84,84.73,56.47,638.6,7.881,1.50044271294493,,
,,4.005,181.44,85.63,55.26,634.2,8.727,1.54958378574014,,
,,4.034,174.72,86.25,56.84,633.4,6.369,1.51741731175229,,
,,4.049,197.0,84.88,55.59,631.0,7.684,1.52689332613779,,
,,4.062,195.1,84.67,56.3,629.9,8.748,1.50390763765542,,
,,4.021,167.39,86.39,55.08,630.1,8.257,1.56844589687727,,
,26,4.168,176.3,47.98,30.82,621.6,4.235,1.55678131083712,,
,,3.867,219.4,53.07,32.83,624.9,4.229,1.61650929028328,,
,,3.071,219.8,53.04,30.61,623.5,4.206,1.7327670695851,,
,,4.087,210.4,50.01,28.59,621.1,5.397,1.7492130115425,,
,,3.449,248.6,50.99,33.15,621.4,4.973,1.53815987933635,,
,,4.664,217.9,52.11,30.16,627.6,5.564,1.72778514588859,,
,,3.904,179.1,48.81,30.74,625.5,4.173,1.58783344176968,,
,,3.711,186.7,49.63,32.11,627.5,4.11,1.54562441606976,,
,,4.266,195.4,47.51,31.26,623.2,4.95,1.51983365323097,,
,,3.78,224.7,51.24,30.17,626.3,3.858,1.69837587006961,,
,,4.319,222.1,51.66,29.81,624.5,4.432,1.7329755115733,,
,,3.071,233.0,49.98,27.63,625.5,5.322,1.80890336590662,,
,,3.475,231.3,50.31,30.91,620.9,4.95,1.62762859915885,,
,,3.56,249.7,51.26,29.66,616.0,4.529,1.72825354012138,,
,,4.408,241.7,47.55,30.01,619.2,5.766,1.58447184271909,,
,,3.614,253.3,49.63,31.88,618.3,5.038,1.55677540777917,,
,,3.458,234.2,48.82,27.68,615.5,4.755,1.76372832369942,,
,,3.782,230.0,50.61,29.31,614.6,4.11,1.72671443193449,,
,,3.717,197.2,51.21,28.66,616.7,5.284,1.78681088625262,,
,,3.458,177.2,53.64,31.74,621.4,4.754,1.68998109640832,,
,27,2.11,192.1,91.75,24.08,568.9,8.698,3.81021594684385,,
,,2.485,197.5,98.27,26.36,570.0,8.027,3.72799696509863,,
,,1.859,206.7,95.88,28.54,563.9,7.411,3.35949544498949,,
,,2.001,218.7,89.13,30.41,562.2,7.998,2.9309437684972,,
,,2.136,211.6,93.21,20.81,566.0,9.054,4.47909658817876,,
,,2.084,131.4,93.53,26.31,564.7,8.166,3.55492208285823,,
,,2.433,132.5,95.06,27.81,563.5,8.762,3.41819489392305,,
,,1.974,122.6,99.95,24.45,560.4,7.86,4.0879345603272,,
,,2.19,121.7,97.26,30.94,561.8,8.01,3.14350355526826,,
,,2.246,124.1,92.27,26.37,562.5,9.046,3.49905195297687,,
,,1.757,136.9,90.55,27.49,563.9,9.512,3.29392506365951,,
,,1.944,155.0,91.23,28.53,565.8,9.968,3.19768664563617,,
,,1.929,143.1,93.35,25.31,567.1,8.016,3.68826550770446,,
,,2.085,143.0,96.75,29.66,568.1,8.122,3.26196898179366,,
,,1.866,131.4,92.23,24.64,568.7,9.907,3.74310064935065,,
,,2.465,138.7,89.71,28.21,567.9,6.918,3.1800779865296,,
,,2.199,149.5,90.31,22.99,568.8,9.801,3.92822966507177,,
,,1.769,220.2,96.21,21.15,570.7,9.146,4.54893617021277,,
,,2.394,197.5,95.53,25.76,573.2,8.262,3.70846273291925,,
,,1.795,192.1,91.49,29.31,570.4,9.665,3.12146025247356,,
,28,1.769,138.4,107.6,35.0,601.0,6.27,3.07428571428571,,
,,2.241,140.1,104.3,20.52,604.2,6.645,5.08284600389864,,
,,2.171,141.1,107.2,29.96,606.4,8.219,3.5781041388518,,
,,1.952,146.0,107.0,31.13,608.4,8.639,3.43719884355927,,
,,2.282,142.3,104.2,24.42,602.4,6.902,4.26699426699427,,
,,1.961,141.0,113.2,34.0,599.6,7.671,3.32941176470588,,
,,1.978,139.4,108.0,32.1,602.5,7.742,3.36448598130841,,
,,2.053,142.9,106.6,27.8,608.9,7.256,3.83453237410072,,
,,2.191,142.3,103.2,29.3,609.7,8.251,3.5221843003413,,
,,1.896,146.8,110.4,24.6,605.7,6.551,4.48780487804878,,
,,2.14,149.6,108.9,23.1,610.9,5.748,4.71428571428571,,
,,2.171,146.7,112.1,31.1,612.8,8.133,3.60450160771704,,
,,1.909,147.7,107.8,30.0,610.7,8.236,3.59333333333333,,
,,1.71,145.7,109.6,23.2,602.5,8.431,4.72413793103448,,
,,1.959,144.3,106.9,29.8,601.1,6.588,3.58724832214765,,
,,2.055,139.2,105.5,25.6,602.0,8.339,4.12109375,,
,,1.979,138.3,110.5,27.2,603.2,8.525,4.0625,,
,,1.989,137.4,107.2,29.1,605.9,6.895,3.68384879725086,,
,,1.972,140.3,109.2,28.6,609.9,8.036,3.81818181818182,,
,,2.142,152.3,109.9,24.9,608.6,7.219,4.4136546184739,,
,29,2.411,250.2,72.15,30.07,596.4,7.572,2.39940139674094,,
,,2.209,259.9,67.28,25.43,592.3,8.175,2.64569406213134,,
,,1.739,265.0,65.49,30.01,590.2,5.75,2.18227257580806,,
,,1.989,269.0,68.12,28.21,595.7,5.471,2.4147465437788,,
,,1.674,282.2,71.37,25.31,596.0,6.207,2.81983405768471,,
,,2.197,273.6,69.47,29.32,595.7,6.437,2.3693724420191,,
,,1.688,261.9,71.22,31.77,593.2,6.988,2.24173748819641,,
,,1.736,265.7,67.89,28.91,599.9,8.15,2.34832237979938,,
,,2.066,289.7,73.56,30.24,601.4,6.34,2.43253968253968,,
,,1.893,299.2,70.12,27.08,596.0,6.453,2.58936484490399,,
,,1.592,286.2,65.98,25.99,592.3,6.813,2.53866871873798,,
,,1.909,254.2,75.0,32.15,590.1,5.055,2.33281493001555,,
,,2.355,265.8,69.33,29.15,592.8,5.968,2.37838765008576,,
,,1.714,249.6,71.8,31.5,596.0,5.173,2.27936507936508,,
,,2.427,252.3,66.05,26.75,600.4,6.423,2.46915887850467,,
,,1.522,241.2,74.67,30.67,593.4,7.056,2.43462667101402,,
,,2.562,213.0,68.24,28.24,592.3,5.255,2.41643059490085,,
,,1.905,208.1,72.9,32.9,597.8,6.089,2.21580547112462,,
,,2.011,281.5,70.55,27.55,599.2,5.346,2.56079854809437,,
,,2.097,270.8,67.41,26.41,593.6,5.985,2.55244225672094,,
,30,2.732,164.5,63.92,21.84,722.8,6.311,2.92673992673993,,
,,2.839,148.9,54.08,24.31,722.0,6.191,2.22459893048128,,
,,2.265,172.9,60.62,25.1,722.6,6.453,2.41513944223108,,
,,2.999,189.5,60.82,22.06,719.1,7.119,2.7570262919311,,
,,2.519,167.8,59.07,22.16,722.5,6.738,2.66561371841155,,
,,2.641,162.4,56.34,23.45,723.6,6.192,2.40255863539446,,
,,2.186,176.4,58.91,21.78,726.1,6.498,2.70477502295684,,
,,2.306,180.8,62.15,25.12,726.3,6.226,2.47412420382166,,
,,2.735,222.0,55.87,20.99,719.1,7.01,2.66174368747022,,
,,2.233,162.4,64.03,24.36,720.6,6.952,2.62848932676519,,
,,2.66,150.3,59.42,22.5,723.8,6.469,2.64088888888889,,
,,2.525,157.3,61.77,21.64,723.4,6.874,2.85443622920518,,
,,2.542,149.6,57.28,24.83,729.4,7.514,2.30688683044704,,
,,3.001,159.3,63.55,21.05,728.2,6.391,3.01900237529691,,
,,2.685,164.9,60.12,25.67,730.7,6.4,2.34203350214258,,
,,2.561,157.6,56.45,22.19,733.0,6.917,2.54393871113114,,
,,2.198,162.4,59.99,23.09,736.5,6.92,2.59809441316587,,
,,2.921,179.6,62.8,20.33,735.8,6.608,3.08903098868667,,
,,2.934,194.9,58.03,25.41,725.9,6.952,2.28374655647383,,
,,2.932,179.6,61.11,24.07,725.0,6.99,2.53884503531367,,
,31,2.671,187.8,69.05,26.74,648.0,5.827,2.58227374719521,,
,,1.914,185.0,56.68,28.33,644.0,5.381,2.00070596540769,,
,,2.384,192.7,63.91,24.99,644.9,6.768,2.55742296918768,,
,,2.299,196.3,58.6,29.41,645.4,6.164,1.99251955117307,,
,,2.053,202.4,67.47,25.73,640.7,4.688,2.62223085891955,,
,,2.435,208.7,54.47,26.85,643.6,4.802,2.02867783985102,,
,,2.216,190.9,63.28,27.14,642.7,6.489,2.3316138540899,,
,,2.072,189.9,68.45,28.99,649.9,6.921,2.36115902035185,,
,,2.435,176.1,57.91,29.01,646.2,5.165,1.99620820406756,,
,,2.132,169.8,64.19,25.36,646.6,6.44,2.53115141955836,,
,,1.842,162.8,58.37,26.42,645.7,5.195,2.20931112793338,,
,,2.8,162.3,67.55,27.55,644.8,5.964,2.4519056261343,,
,,2.369,154.9,56.12,28.08,650.6,6.953,1.9985754985755,,
,,2.231,155.3,62.99,29.77,648.5,5.63,2.11588847833389,,
,,2.111,163.3,69.31,25.9,652.3,6.44,2.67606177606178,,
,,2.044,171.2,60.48,26.19,649.9,5.604,2.30927835051546,,
,,2.769,176.1,65.76,27.3,647.8,5.452,2.40879120879121,,
,,2.179,192.3,55.88,28.64,646.1,6.616,1.95111731843575,,
,,2.641,190.9,63.07,29.45,644.9,6.83,2.14159592529711,,
,,2.255,195.4,68.02,25.12,649.5,6.914,2.7078025477707,,
,32,2.535,358.9,89.84,25.56,639.0,6.402,3.51486697965571,,
,,2.701,345.9,84.07,20.83,632.5,6.038,4.03600576092175,,
,,2.298,330.1,82.22,24.07,635.7,6.633,3.41587037806398,,
,,2.597,328.7,82.99,21.68,639.0,6.494,3.82795202952029,,
,,2.57,356.9,84.52,22.15,642.8,7.109,3.81580135440181,,
,,2.23,379.8,82.57,24.83,646.0,7.399,3.3254128070882,,
,,2.202,389.9,83.19,20.97,653.0,6.328,3.96709585121602,,
,,2.322,379.8,84.02,25.34,668.3,7.134,3.31570639305446,,
,,2.636,343.5,85.73,23.71,663.7,7.065,3.6157739350485,,
,,2.196,351.4,86.45,21.08,657.2,7.97,4.10104364326376,,
,,2.486,328.7,87.88,26.0,664.3,7.204,3.38,,
,,2.65,349.1,88.11,20.45,670.9,8.114,4.30855745721271,,
,,2.237,362.8,89.99,22.89,663.7,7.278,3.93141109654871,,
,,1.886,359.9,90.0,24.06,661.8,7.317,3.74064837905237,,
,,2.661,391.3,82.34,25.6,642.6,6.056,3.21640625,,
,,2.396,367.9,83.67,23.12,636.7,8.718,3.6189446366782,,
,,2.689,378.0,84.5,21.77,639.8,6.7,3.88148828663298,,
,,2.544,383.7,85.06,20.03,636.9,7.115,4.24663005491762,,
,,2.517,367.9,86.29,22.5,638.5,7.792,3.83511111111111,,
,,2.298,345.9,87.42,24.99,636.0,8.281,3.49819927971188,,
,33,1.714,247.1,83.12,31.13,604.3,8.109,2.67009315772567,,
,,1.726,243.2,85.75,28.6,615.8,7.53,2.99825174825175,,
,,1.813,236.5,78.25,25.46,611.8,7.378,3.07344854673998,,
,,1.556,236.1,89.69,26.87,606.5,7.125,3.33792333457387,,
,,1.687,249.8,81.35,27.68,607.3,7.866,2.9389450867052,,
,,1.902,226.2,85.72,26.2,621.0,9.55,3.27175572519084,,
,,1.645,232.7,78.99,29.26,610.7,9.194,2.69958988380041,,
,,1.462,233.0,88.06,25.56,606.0,8.534,3.4452269170579,,
,,1.522,205.7,82.47,25.68,603.1,7.777,3.21144859813084,,
,,1.67,202.8,89.0,29.02,605.9,8.22,3.06685044796692,,
,,1.919,219.5,79.83,26.9,607.6,8.03,2.96765799256506,,
,,1.773,249.0,87.14,30.59,603.8,9.781,2.84864334749918,,
,,1.62,270.3,84.25,27.52,607.4,8.896,3.06140988372093,,
,,1.44,283.6,90.0,25.24,613.5,9.348,3.56576862123613,,
,,1.457,273.7,83.59,30.46,601.9,9.04,2.74425476034143,,
,,1.926,249.8,86.91,29.08,603.8,9.617,2.98865199449794,,
,,1.512,261.1,80.12,28.91,607.9,8.686,2.77135939121411,,
,,1.793,236.5,78.5,27.08,605.9,9.528,2.89881831610044,,
,,1.569,243.2,88.77,31.31,613.3,9.167,2.83519642286809,,
,,1.85,256.9,85.03,28.82,610.7,9.796,2.95038167938931,,
,34,2.629,249.8,81.73,35.5,705.1,13.24,2.30225352112676,,
,,2.841,244.3,79.51,30.73,709.0,15.14,2.5873739017247,,
,,2.759,253.6,87.09,36.93,712.0,15.33,2.35824532900081,,
,,2.611,266.4,76.57,26.08,713.3,15.66,2.93596625766871,,
,,2.223,249.8,83.4,27.66,705.7,17.44,3.01518438177874,,
,,2.43,263.6,75.89,26.15,708.4,15.85,2.90210325047801,,
,,2.689,258.7,76.45,30.83,706.3,15.44,2.47972753811223,,
,,2.185,275.7,77.12,28.97,708.4,16.51,2.66206420434933,,
,,2.862,244.3,78.03,34.34,709.7,15.75,2.27227722772277,,
,,2.295,250.5,79.57,27.71,711.1,15.52,2.87152652472032,,
,,2.719,267.3,80.24,32.08,714.0,15.81,2.50124688279302,,
,,2.31,250.4,81.99,36.0,712.2,15.67,2.2775,,
,,2.949,270.4,75.0,26.45,710.7,16.11,2.83553875236295,,
,,2.249,242.0,76.78,29.89,711.0,14.26,2.56875209100033,,
,,2.949,252.9,77.6,33.06,709.4,17.42,2.34724742891712,,
,,2.43,238.0,78.91,35.6,707.9,16.17,2.21657303370786,,
,,2.01,219.0,79.35,31.12,709.9,15.0,2.54980719794344,,
,,2.839,229.7,80.66,28.77,708.4,15.61,2.80361487660758,,
,,2.569,238.0,81.07,26.03,708.7,14.78,3.11448328851325,,
,,2.791,252.9,82.0,30.5,706.9,15.65,2.68852459016393,,
,35,3.729,163.05,70.0,29.6,637.0,7.783,2.36486486486486,,
,,2.992,160.02,66.23,27.74,640.0,7.601,2.38752703677001,,
,,2.156,167.46,74.01,28.7,634.3,7.728,2.5787456445993,,
,,2.606,179.6,66.01,32.51,635.8,8.272,2.03045216856352,,
,,3.758,185.1,66.15,27.15,640.6,8.396,2.43646408839779,,
,,3.731,165.72,70.83,31.83,641.6,9.241,2.22525918944392,,
,,2.584,182.2,68.97,28.97,635.3,8.004,2.38073869520193,,
,,2.128,170.1,74.34,32.34,634.3,7.892,2.2987012987013,,
,,2.337,180.4,67.71,29.71,634.9,7.392,2.2790306294177,,
,,3.785,160.47,72.08,30.08,636.4,8.618,2.39627659574468,,
,,2.93,146.81,76.0,33.0,637.5,8.262,2.3030303030303,,
,,3.493,155.32,66.45,27.45,635.3,7.555,2.4207650273224,,
,,3.407,171.3,69.89,28.89,638.8,7.513,2.41917618553133,,
,,2.531,157.37,73.06,31.06,639.4,8.874,2.35222150676111,,
,,3.275,168.17,75.6,32.6,643.0,8.451,2.31901840490798,,
,,3.329,170.24,71.12,29.12,642.5,7.666,2.44230769230769,,
,,2.611,162.14,68.77,30.77,641.7,8.417,2.23496912577186,,
,,2.484,163.05,66.03,27.03,636.6,7.498,2.44284128745838,,
,,3.407,167.46,70.5,31.5,636.7,7.507,2.23809523809524,,
,,2.531,169.88,74.99,32.99,636.9,8.226,2.27311306456502,,
,36,2.537,166.0,90.12,58.24,624.7,7.178,1.54739010989011,,
,,2.53,159.2,89.45,58.99,633.5,8.56,1.51635870486523,,
,,2.502,174.2,90.83,58.07,626.9,8.16,1.56414671947649,,
,,2.454,179.7,90.99,59.82,632.3,8.274,1.52106318956871,,
,,2.537,173.7,90.56,58.52,627.3,9.27,1.54750512645249,,
,,2.525,172.8,89.77,59.33,626.6,7.674,1.5130625316029,,
,,2.489,192.7,90.31,58.62,625.4,8.862,1.54060047765268,,
,,2.413,186.6,89.62,59.04,633.1,7.992,1.5179539295393,,
,,2.467,167.0,90.01,59.09,621.2,8.897,1.5232695887629,,
,,2.381,171.3,90.25,58.37,624.3,9.885,1.54617097824225,,
,,2.337,162.4,89.84,59.94,619.6,9.157,1.49883216549883,,
,,2.381,161.6,90.66,59.55,624.0,9.2,1.52241813602015,,
,,2.372,159.9,88.93,59.88,622.3,8.506,1.48513694054776,,
,,2.343,159.2,90.47,59.79,625.7,8.006,1.51312928583375,,
,,2.487,159.6,89.38,59.2,624.2,7.506,1.5097972972973,,
,,2.515,164.0,90.71,59.84,624.0,8.029,1.5158756684492,,
,,2.519,183.3,90.52,58.18,626.5,9.221,1.55586112066002,,
,,2.447,166.0,90.15,58.39,627.3,8.166,1.54392875492379,,
,,2.218,162.9,88.88,58.09,624.7,7.838,1.53003959373386,,
,,2.455,181.8,90.04,58.65,621.2,7.625,1.53520886615516,,
,37,2.725,177.2,89.27,58.27,615.9,6.528,1.53200617813626,,
,,2.736,212.4,90.45,59.45,618.3,6.857,1.52144659377628,,
,,2.725,196.9,89.91,58.91,618.7,7.511,1.52622644712273,,
,,2.718,186.3,90.78,59.78,615.6,6.017,1.51856808297089,,
,,2.693,175.1,89.62,59.62,616.9,7.491,1.50318685005032,,
,,2.741,167.8,90.17,59.17,619.8,6.577,1.52391414568193,,
,,2.736,151.1,90.34,59.34,620.9,6.278,1.52241321199865,,
,,2.7,147.4,89.85,58.85,618.4,6.853,1.5267629566695,,
,,2.636,191.3,90.01,59.01,617.6,6.152,1.52533468903576,,
,,2.752,198.1,89.49,58.49,619.5,6.779,1.53000512908189,,
,,2.732,197.0,90.66,59.66,619.1,6.901,1.51961112973517,,
,,2.698,163.8,89.13,58.13,624.0,7.323,1.5332874591433,,
,,2.64,165.2,90.58,59.58,623.9,7.008,1.52030882846593,,
,,2.728,147.4,89.74,60.74,532.2,7.927,1.47744484688838,,
,,2.601,151.1,90.02,59.02,615.5,6.288,1.5252456794307,,
,,2.561,149.8,89.93,58.93,618.3,7.446,1.52604785338537,,
,,2.539,189.0,90.12,60.12,619.7,7.975,1.49900199600798,,
,,2.5,147.4,89.38,58.38,623.0,7.699,1.53100376841384,,
,,2.577,163.8,90.81,59.81,623.9,8.626,1.51830797525497,,
,,2.529,186.3,89.57,58.57,625.5,7.96,1.52928120198054,,
,38,2.783,188.1,92.27,25.27,654.0,14.75,3.65136525524337,,
,,2.713,190.6,94.45,26.45,655.4,14.32,3.57088846880907,,
,,2.71,252.8,93.91,25.91,654.4,15.28,3.62446931686607,,
,,2.681,255.2,94.78,26.78,656.3,15.6,3.53920836445108,,
,,2.81,229.2,93.62,25.62,656.7,15.27,3.65417642466823,,
,,2.779,182.0,94.17,24.17,653.2,14.94,3.8961522548614,,
,,2.798,164.5,94.34,26.34,659.4,14.46,3.58162490508732,,
,,2.8,136.9,92.85,25.85,656.2,14.45,3.59187620889748,,
,,2.795,140.6,94.01,26.01,565.3,14.95,3.61437908496732,,
,,2.512,200.7,93.49,25.49,653.9,15.09,3.66771282856022,,
,,2.6,164.5,94.66,27.66,644.3,15.32,3.42227042660882,,
,,2.755,136.9,93.13,25.13,645.0,15.33,3.70592916832471,,
,,2.668,118.0,93.58,26.58,662.9,14.79,3.52069224981189,,
,,2.795,164.0,93.74,25.74,655.8,14.75,3.64180264180264,,
,,2.812,117.6,92.02,26.02,657.4,14.86,3.53651037663336,,
,,2.813,140.3,93.93,25.93,659.1,14.55,3.62244504435017,,
,,2.807,118.0,94.12,27.12,652.1,14.61,3.47050147492625,,
,,2.799,166.6,93.38,25.38,659.5,14.95,3.67927501970055,,
,,2.795,193.6,94.81,25.81,656.0,15.17,3.67338240991864,,
,,2.785,213.6,93.57,27.57,655.4,15.27,3.39390642002176,,
,39,2.465,207.4,73.45,23.62,665.5,6.789,3.10965283657917,,
,,2.555,259.4,75.62,24.18,664.4,6.05,3.12737799834574,,
,,2.493,226.7,73.91,25.91,664.2,6.225,2.85256657661135,,
,,2.523,263.2,74.27,24.73,662.3,6.398,3.00323493732309,,
,,2.541,231.4,73.58,23.58,658.7,6.364,3.12044105173876,,
,,2.525,207.4,74.89,25.29,663.9,7.291,2.96124950573349,,
,,2.496,172.8,74.33,24.76,662.9,7.784,3.00201938610662,,
